,Location,Venue Latitude,Venue Longitude,geometry
299,Cypress,29.878882499372477,-95.63494098055894,"29.878882499372477, -95.63494098055894"
300,Cypress,29.900018621765135,-95.596888795897,"29.900018621765135, -95.596888795897"
301,Cypress,29.882330504047214,-95.7233155940643,"29.882330504047214, -95.7233155940643"
302,Deer Park,29.717228600926532,-95.29464050467443,"29.717228600926532, -95.29464050467443"
303,Deer Park,29.67122607870017,-95.27683696431825,"29.67122607870017, -95.27683696431825"
304,Deer Park,29.572790717520977,-95.10863664897106,"29.572790717520977, -95.10863664897106"
305,Deer Park,29.642366548661688,-95.24065264704308,"29.642366548661688, -95.24065264704308"
306,Deer Park,29.767937174261423,-95.23738151060121,"29.767937174261423, -95.23738151060121"
307,Deer Park,29.620094698623983,-95.2297483954851,"29.620094698623983, -95.2297483954851"
308,Deer Park,29.664632,-95.190623,"29.664632, -95.190623"
309,Dickinson,29.57276656758628,-95.02706050872803,"29.57276656758628, -95.02706050872803"
310,Dickinson,29.572581,-95.027101,"29.572581, -95.027101"
311,Eagle Pass,28.70846568071294,-100.48352822634573,"28.70846568071294, -100.48352822634573"
312,El Paso,31.83704,-106.557118,"31.83704, -106.557118"
313,El Paso,31.792657856263105,-106.37132861011796,"31.792657856263105, -106.37132861011796"
314,El Paso,31.881292394991643,-106.42024774221981,"31.881292394991643, -106.42024774221981"
315,El Paso,31.81237365210938,-106.43344345165839,"31.81237365210938, -106.43344345165839"
316,El Paso,31.77175939649847,-106.337967556246,"31.77175939649847, -106.337967556246"
317,El Paso,31.749087,-106.280911,"31.749087, -106.280911"
318,El Paso,31.747238848449193,-106.31844198458873,"31.747238848449193, -106.31844198458873"
319,El Paso,31.682247,-106.200741,"31.682247, -106.200741"
320,El Paso,31.806445,-106.259676,"31.806445, -106.259676"
321,El Paso,31.837429297847898,-106.55722763846333,"31.837429297847898, -106.55722763846333"
322,El Paso,31.853318,-106.338439,"31.853318, -106.338439"
323,El Paso,31.650264,-106.286372,"31.650264, -106.286372"
324,Frisco,33.1543312190593,-96.8038672525403,"33.1543312190593, -96.8038672525403"
325,Fulshear,29.690178756342846,-95.76796092886899,"29.690178756342846, -95.76796092886899"
326,Galveston,29.297539059296817,-94.80072794472851,"29.297539059296817, -94.80072794472851"
327,Galveston,29.79082550352515,-95.41019179432881,"29.79082550352515, -95.41019179432881"
328,Garland,33.01780769267661,-96.68119301866453,"33.01780769267661, -96.68119301866453"
329,Greenville,33.10078,-96.1039,"33.10078, -96.1039"
330,Groves,30.056427,-94.79908,"30.056427, -94.79908"
331,Groves,30.235313,-93.20408642292023,"30.235313, -93.20408642292023"
332,Haslet,32.968410655676905,-97.41686204469485,"32.968410655676905, -97.41686204469485"
333,Houston,29.71668,-95.35411,"29.71668, -95.35411"
334,Houston,29.689426310881046,-95.44030692833078,"29.689426310881046, -95.44030692833078"
335,Houston,29.838076,-95.384671,"29.838076, -95.384671"
336,Houston,29.736538,-95.303795,"29.736538, -95.303795"
337,Houston,29.869406,-95.408278,"29.869406, -95.408278"
338,Houston,29.854155774828303,-95.30017375946045,"29.854155774828303, -95.30017375946045"
339,Houston,29.705140121493116,-95.48110612742776,"29.705140121493116, -95.48110612742776"
340,Houston,29.838277385986757,-95.4729480536319,"29.838277385986757, -95.4729480536319"
341,Houston,29.657393107034178,-95.35566672447099,"29.657393107034178, -95.35566672447099"
342,Houston,29.7766,-95.302002,"29.7766, -95.302002"
343,Houston,29.686899,-95.42063,"29.686899, -95.42063"
344,Houston,29.6863,-95.364403,"29.6863, -95.364403"
345,Houston,29.6864463335718,-95.42150600871514,"29.6864463335718, -95.42150600871514"
346,Houston,29.738688,-95.31118599999999,"29.738688, -95.31118599999999"
347,Houston,29.814939437542677,-95.42974115914298,"29.814939437542677, -95.42974115914298"
348,Humble,29.930895,-95.30068,"29.930895, -95.30068"
